Country,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Guinea,U.S. dollars,Billions,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.858,6.034,7.304,8.374,8.79,8.79,8.604,10.337,12.181,13.797,15.455,16.339,17.428,2018
Kenya,U.S. dollars,Billions,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.959,35.895,37.022,40,41.671,50.422,55.125,61.546,64.235,69.19,78.896,87.801,95.41,99.287,106.041,112.75,2019
Liberia,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.864,0.908,0.946,0.714,0.895,0.947,1.11,1.346,1.677,1.769,1.973,2.342,2.673,3.046,3.09,3.088,3.258,3.335,3.264,3.064,3.033,3.37,3.693,2016
Libya,U.S. dollars,Billions,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.832,21.797,24.267,25.901,2017
Madagascar,U.S. dollars,Billions,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.974,14.519,13.837,14.746,15.972,2018
Malawi,U.S. dollars,Billions,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.911,7.663,8.488,9.268,9.598,2019
Mali,U.S. dollars,Billions,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.308,17.639,19.912,21.824,2018
Mauritania,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.784,7.048,7.93,8.176,9.239,8.724,2018
Morocco,U.S. dollars,Billions,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.701,113.548,124.003,131.309,2019
Mozambique,U.S. dollars,Billions,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.704,2.584,2.651,2.848,2.959,4.163,4.976,5.625,5.928,5.39,5.31,5.626,6.254,7.589,8.512,9.303,10.534,12.64,12.261,11.418,14.382,16.257,16.968,17.623,15.951,11.937,13.15,14.71,15.195,14.385,13.957,14.889,2019
