Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",286.454,234.094,202.848,191.946,187.734,185.325,252.941,290.159,287.28,345.974,388.428,388.675,390.518,379.876,283.342,357.517,356.398,326.082,329.648,332.428,278.381,316.848,346.478,405.693,454.971,505.371,540.589,617.829,720.606,724.186,733.666,863.348,802.465,828.742,873.51,773.945,804.081,854.976,922.55,907.218,897.287,983.379,"1,046.28",2017
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,898.741,"1,002.02","1,026.90",852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,"1,357.43","1,425.47","1,647.29","1,475.59","1,715.92","2,012.83","1,946.08","2,072.49","1,826.78","1,668.07","1,690.81","1,747.75","1,775.32","1,953.87","1,971.45","2,178.89","2,012.95",2014
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,132.09",895.782,881.181,778.036,695.127,685.329,884.05,952.577,"1,102.83","1,109.29","1,248.81","1,310.61","1,343.36","1,239.05","1,369.64","1,479.28","1,612.85","1,442.43","1,519.17","1,492.18","1,373.92","1,376.53","1,453.94","1,768.60","1,999.13","2,063.31","2,242.73","2,549.88","2,946.93","2,922.59","2,896.56","3,111.54","2,979.74","3,200.48","3,259.72","2,964.96","2,995.68","3,147.10","3,353.10","3,363.61","3,158.32","3,414.83","3,580.82",2018
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",380.089,288.2,287.662,252.441,258.813,338.551,395.831,179.063,157.663,164.179,260.104,266.627,180.033,178.025,184.324,185.169,252.887,294.176,324.179,333.087,294.943,282.673,291.215,314.694,371.304,405.139,427.955,471.128,549.706,518.466,469.47,574.873,631.76,641.085,647.499,570.129,415.18,445.192,484.87,487.687,449.63,424.911,441.525,2015
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,109.53","2,034.92","2,071.00","1,922.82","2,100.28","2,197.59","2,126.35","2,143.73","1,837.31","1,874.47","2,139.71","1,939.79","1,811.25","2,607.86","3,440.97","3,708.79","4,007.73","4,378.56","4,198.55","4,340.18","5,410.98","5,870.93","6,038.86","5,540.62","5,555.93","5,020.47","4,611.51","5,438.76","5,664.46","5,100.07","4,175.18","4,371.20","4,487.55",2019
Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,565.867,632.633,710.329,2009
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,652.915,615.663,521.905,553.126,760.992,"1,224.94","1,560.38","1,655.82","1,802.59",481.951,554.64,583.187,730.836,780.399,963.236,"1,221.65","1,563.03","1,791.82","2,197.78","1,927.48","2,328.43","2,543.50","2,756.41","2,998.07","3,222.69","2,718.59","2,176.00","1,968.56","2,153.09","2,229.85","2,083.16","2,431.63","2,714.77",2012
Senegal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",767.971,677.895,645.371,559.501,529.935,563.25,773.089,902.227,865.667,828.149,936.147,894.484,930.567,852.609,560.956,693.417,706.865,642.569,686.369,689.683,614.003,648.446,680.83,831.623,931.745,993.237,"1,027.79","1,197.55","1,403.80","1,307.52","1,272.62","1,366.53","1,318.61","1,372.69","1,397.02","1,219.37","1,269.55","1,361.22","1,458.73","1,430.21","1,459.51","1,622.02","1,724.58",2018
Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",479.601,501.744,552.581,469.374,539.979,450.535,330.043,281.362,451.564,405.247,219.455,261.748,228.231,259.186,308.752,295.71,318.646,286.074,223.939,218.906,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,527.026,526.514,541.873,533.433,2017
Somalia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,301.676,316.021,312.727,310.457,312.857,326.515,332.224,338.155,326.982,346.683,354.109,2019
South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,853.53","2,865.01","2,561.74","2,783.10","2,400.34","1,792.07","2,003.02","2,570.27","2,704.74","2,753.51","3,140.34","3,289.04","3,481.42","3,390.85","3,446.84","3,752.38","3,499.20","3,555.71","3,159.39","3,087.27","3,039.04","2,659.48","2,496.99","3,744.26","4,838.95","5,383.76","5,610.63","6,091.65","5,765.55","5,880.32","7,311.74","7,997.07","7,487.85","6,824.45","6,429.83","5,731.73","5,266.88","6,119.89","6,353.85","5,977.95","5,067.15","5,443.94","5,599.90",2020
South Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,644.74","1,041.46","1,337.23","1,334.09","1,245.68",286.208,277.692,359.062,309.718,295.661,314.644,366.378,2008
Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,"1,249.77","1,599.60","1,700.51","1,401.24","1,637.42","2,034.46","1,396.29","1,462.58","1,628.50","1,679.07","1,638.51","1,172.97",854.872,776.549,775.043,787.443,769.398,2011
Tanzania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,"1,030.74",947.897,966.29,"1,002.87","1,036.93","1,079.68","1,090.39","1,103.61","1,139.13",2012
Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",732.896,588.837,478.885,439.533,388.995,393.789,533.68,607.02,655.62,625.669,734.496,709.22,728.16,543.291,411.811,530.121,563.018,555.862,509.651,495.79,409.01,395.012,442.768,535.373,557.462,548.803,550.519,606.783,736.985,728.529,721.036,791.925,771.891,838.357,864.996,770.358,802.935,830.458,902.15,893.18,904.675,"1,016.13","1,075.95",2016
Tunisia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,482.82","1,390.41","1,309.90","1,322.84","1,286.60","1,271.85","1,312.23","1,382.41","1,411.51","1,386.02","1,636.64","1,687.19","1,973.45","1,814.88","1,903.85","2,156.45","2,299.38","2,210.81","2,295.19","2,388.99","2,213.95","2,254.91","2,345.99","2,762.05","3,112.91","3,194.48","3,371.54","3,778.89","4,308.91","4,131.02","4,140.47","4,256.84","4,137.57","4,198.85","4,274.47","3,829.50","3,665.68","3,436.20","3,442.69","3,324.13","3,322.93","3,683.08","3,835.96",2019
Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",664.574,"1,044.13",703.042,779.82,581.032,514.181,494.509,768.935,767.651,599.952,472.193,238.48,216.036,247.107,346.255,401.893,401.413,423.918,402.455,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.56,964.833,960.698,773.284,808.445,833.033,878.22,948.891,912.442,971.983,"1,025.06",2016
Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,376.986,376.468,429.01,530.54,691.554,"1,030.69","1,103.69","1,365.93","1,135.01","1,456.05","1,635.17","1,724.63","1,839.33","1,726.65","1,310.46","1,254.12","1,500.96","1,480.42","1,272.24",981.311,974.271,952.125,2019
Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,036.53",936.263,748.65,702.439,714.032,717.092,849.876,881.223,"1,029.20","1,003.83",969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,"1,131.84","1,310.37","1,421.55","1,415.03","1,425.01","1,409.45","1,516.28","1,440.59","1,293.01","1,385.04","1,683.72","1,856.44",2017
